position,replacement_slack
0,0.4511209706161434
1,0.6652952516734656
2,0.6652952516734656
3,0.6652952516734656
4,0.6652952516734665
5,0.6652952516734647
6,0.6652952516734647
7,0.6652952516734647
8,0.6652952516734647
9,0.6652952516734647
10,0.6652952516734647
11,0.6652952516734647
12,0.6652952516734665
13,0.6652952516734665
14,0.6652952516734665
15,0.6652952516734665
16,0.6652952516734665
17,0.6652952516734665
18,0.4133508428374508
19,0.28760985461809874
20,0.2876098546181005
21,0.11349664786662927
22,0.11349664786662927
23,0.11349664786662927
24,0.11349664786662927
25,0.11349664786662927
26,0.11349664786663105
27,0.11349664786662927
28,0.11349664786663105
29,0.11349664786663105
30,0.11349664786663105
31,0.11349664786663105
32,0.11349664786663105
33,0.11349664786663283
34,0.11349664786663016
35,0.11349664786662927
36,0.11349664786663105
37,0.11349664786663105
38,0.11349664786663105
39,0.11349664786663105
40,0.1134966478666306
